"","age","agekdbrn","coninc","nummen","numwomen","sibs","size","weekswrk","ADULTS","ATTEND","BABIES","CLASS","CLOSEBLK","CLOSEWHT","COMPREND","COURTS","DEGREE","EARNRS","FINALTER","FINRELA","FUND","HAPPY","HEALTH","INCOM16","MADEG","NATCHLD","NATENRGY","NATMASS","NATPARK","NATROAD","NATSCI","NATSOC","PADEG","PARTNERS","PARTNERS5","POLVIEWS","PRAY","PRETEEN","RANK","RELACTIV","RELITEN","RELPERSN","SATFIN","SATJOB","SEXFREQ","SPRTPRSN","TEENS","VETYEARS","aidscndm","aidslook","ballot","bible","born","cappun","condom","consent","coop","CSHUTYP10","dipged","dwelling","ethnum","evcrack","evpaidsx","evstray","famgen","family16","fear","feeused","gender1","god","hhrace","hivtest","hunt","mar1","mar2","matesex","mawrkgrw","mobile16","othlang","owngun","partfull","partyid","pawrkslf","phone","postlife","raclive","racopen","reborn","reg16","relate2","relatsex","res16","rplace","sex","sexornt","srcbelt","VOTE08","whoelse1","whoelse2","whoelse3","whoelse4","whoelse5","wksub","wksup","wrkgovt","xnorcsiz"
"1",53,NA,60967.5,NA,10,3,14,NA,1,NA,0,3,5,5,3,1,NA,NA,3,4,2,3,4,NA,1,NA,NA,NA,2,1,1,2,NA,3,NA,6,NA,0,NA,1,2,1,2,3,4,1,NA,3,NA,NA,"BALLOT C","BOOK OF FABLES","yes",NA,NA,"R CONSENTS TO RECORDING INTERVIEW","FRIENDLY,INTERESTED",NA,"High School diploma",NA,"CHOOSES 1 OF 2+","no","yes","yes","1 GEN","mother","no","no",NA,"SOME HIGHER POWER","white","Yes",NA,NA,NA,NA,NA,"DIFFERENT STATE",NA,NA,"FULL-TIME",NA,NA,"PHONE IN HOME",NA,NA,"OWNER DECIDES","no","MIDDLE ATLANTIC",NA,"YES, IN RELATIONSHIP","BIG-CITY SUBURB","HEAD OF HOUSEHOLD",NA,NA,"SUBURB, 13-100","Did not vote","no","no","no","no",NA,"no","yes","private","UNINC,MED CITY"
"2",26,NA,NA,NA,0,3,14,52,2,NA,0,3,4,9,3,NA,4,2,3,4,NA,NA,4,3,NA,2,1,1,NA,1,2,1,NA,2,NA,NA,5,0,5,3,NA,4,3,NA,7,NA,0,1,"Yes","Yes","BALLOT C","INSPIRED WORD","yes","oppose",NA,"R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED","FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD",NA,NA,NA,"no","no","no",NA,"MOTHER & FATHER","no","YES, MONEY","female","KNOW GOD EXISTS",NA,"No",NA,NA,"married",NA,"yes","DIFFERENT STATE","no","no","FULL-TIME","NOT STR REPUBLICAN","SOMEONE ELSE","PHONE IN HOME","yes","no",NA,"no","MIDDLE ATLANTIC","spouse","YES, IN RELATIONSHIP","TOWN LT 50000","HEAD OF HOUSEHOLD","female",NA,"SUBURB, 13-100","Voted","no",NA,"no",NA,"no","yes","no",NA,NA
"3",59,27,33255,0,17,3,NA,13,1,NA,0,NA,NA,1,3,NA,NA,1,1,2,NA,NA,3,2,2,2,NA,2,2,1,NA,NA,NA,2,3,5,NA,0,NA,NA,4,3,1,4,4,4,0,NA,NA,NA,NA,"INSPIRED WORD","yes","favor","NOT USED",NA,"FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE",NA,"yes",NA,NA,"1 GEN","mother",NA,NA,"male","BELIEVE BUT DOUBTS",NA,"Yes","neither","divorced",NA,"yes","yes","SAME CITY",NA,"no","PART-TIME",NA,NA,"PHONE IN HOME",NA,NA,"OWNER DECIDES","no",NA,NA,"YES, IN RELATIONSHIP","TOWN LT 50000",NA,"male","Heterosexual or straight","SUBURB, 13-100","Voted",NA,"no","no",NA,NA,NA,NA,NA,NA
"4",NA,38,160742.21785,3,0,NA,14,52,3,4,0,NA,NA,NA,NA,2,NA,3,NA,4,2,3,NA,2,2,NA,1,2,2,2,NA,NA,2,1,NA,NA,2,0,NA,1,2,NA,3,4,1,1,1,NA,NA,"Yes","BALLOT B",NA,"yes",NA,"NOT USED",NA,"FRIENDLY,INTERESTED","LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE",NA,"no","no","no","2 GENS, CHILDREN","MOTHER & FATHER",NA,NA,"male",NA,NA,"No",NA,"married","married",NA,"no",NA,"yes",NA,"PART-TIME","NOT STR REPUBLICAN","SOMEONE ELSE",NA,"yes",NA,NA,NA,"MIDDLE ATLANTIC","spouse","YES, IN RELATIONSHIP","TOWN LT 50000","spouse",NA,NA,NA,"Voted",NA,NA,NA,"no",NA,"yes",NA,"private","UNINC,MED CITY"
"5",74,24,NA,NA,0,0,14,NA,2,5,0,NA,7,9,3,NA,NA,NA,2,3,NA,3,4,NA,NA,1,1,1,NA,NA,NA,NA,1,2,2,4,5,NA,NA,5,NA,NA,NA,NA,NA,3,NA,NA,"Yes","Yes","BALLOT C","INSPIRED WORD","yes","oppose",NA,"R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD","High School diploma","DETACHED 1-FAM HOUSE","NAMES 1",NA,NA,"no","1 GEN","MOTHER & FATHER","no","no","male","KNOW GOD EXISTS","white",NA,"neither","married","married","yes",NA,"DIFFERENT STATE","no","no",NA,"independent","SOMEONE ELSE","PHONE IN HOME",NA,"no","CANT DISCRIMINATE","no","MIDDLE ATLANTIC","spouse","YES, IN RELATIONSHIP","CITY GT 250000","spouse","female",NA,"SUBURB, 13-100",NA,"no",NA,"no","no",NA,NA,NA,"government","UNINC,MED CITY"
"6",NA,23,NA,NA,NA,NA,14,NA,2,NA,NA,3,5,9,3,1,4,2,NA,4,1,2,4,4,2,1,1,1,2,1,2,NA,4,NA,NA,NA,4,0,NA,NA,2,3,2,3,NA,NA,NA,NA,NA,NA,"BALLOT A","INSPIRED WORD","yes","favor",NA,"R CONSENTS TO PARTCIPATE IN THE SURVEY BUT DOES NOT WANT TO BE RECORDED",NA,"LIVING IN HOUSEHOLD",NA,NA,"CANNOT CHOOSE 1",NA,NA,NA,"1 GEN","MOTHER & FATHER","no",NA,"female",NA,"white",NA,"neither","married","married",NA,"no","SAME ST,DIF CITY","yes",NA,"FULL-TIME",NA,"SELF-EMPLOYED","PHONE ELSEWHERE",NA,"no",NA,"no","NEW ENGLAND","spouse",NA,"TOWN LT 50000","HEAD OF HOUSEHOLD","female",NA,NA,"Voted","no",NA,"no","no","no","no","yes","private","UNINC,MED CITY"
"7",63,NA,NA,NA,NA,1,14,NA,2,NA,0,NA,NA,NA,3,NA,2,1,1,NA,2,2,NA,NA,NA,3,2,3,NA,3,2,NA,NA,NA,NA,NA,2,0,NA,1,NA,NA,1,NA,NA,NA,0,1,NA,NA,"BALLOT B",NA,"yes","favor",NA,NA,NA,"LIVING IN HOUSEHOLD","High School diploma",NA,"CANNOT CHOOSE 1",NA,NA,NA,"1 GEN","MOTHER & FATHER",NA,"YES, MONEY","male",NA,NA,NA,NA,"married","married",NA,"yes","DIFFERENT STATE","no",NA,"FULL-TIME","STRONG REPUBLICAN","SOMEONE ELSE","refused","yes","yes",NA,"no","MIDDLE ATLANTIC",NA,NA,"CITY GT 250000",NA,NA,NA,"SUBURB, 13-100",NA,NA,NA,"yes","no","no",NA,NA,NA,"UNINC,MED CITY"
"8",NA,NA,NA,NA,NA,NA,24,52,NA,4,0,2,NA,NA,NA,1,5,NA,2,3,2,NA,NA,3,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,5,4,3,3,NA,3,NA,NA,NA,1,NA,NA,"BALLOT B","INSPIRED WORD","yes","favor",NA,"R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD",NA,"DETACHED 1-FAM HOUSE",NA,NA,NA,NA,NA,"MOTHER & FATHER",NA,"YES, MONEY","male",NA,"white",NA,NA,"married","married",NA,"yes","DIFFERENT STATE",NA,NA,"FULL-TIME",NA,"SOMEONE ELSE","PHONE IN HOME","yes",NA,NA,"no","pacific",NA,NA,"BIG-CITY SUBURB","HEAD OF HOUSEHOLD",NA,NA,NA,NA,NA,NA,"yes","no","no",NA,"no","private",NA
"9",NA,NA,12008.75,5,NA,2,24,0,NA,NA,NA,1,9,NA,NA,1,1,0,1,2,NA,NA,1,3,1,2,NA,3,1,NA,NA,1,NA,2,2,4,5,1,10,NA,NA,3,1,NA,NA,NA,2,NA,"No","Yes","BALLOT C","INSPIRED WORD","yes","favor","NOT USED","R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD",NA,"DETACHED 1-FAM HOUSE","NAMES 1","no",NA,"NEVER MARRIED","2 GENS, CHILDREN","mother","yes",NA,"female","KNOW GOD EXISTS",NA,NA,"neither",NA,"NEVER MARRIED",NA,"yes","SAME CITY","no",NA,NA,"independent",NA,"cellphone","yes","yes","CANT DISCRIMINATE","no",NA,NA,"YES, IN RELATIONSHIP",NA,"HEAD OF HOUSEHOLD","female",NA,"OTHER URBAN","Did not vote",NA,"yes",NA,"yes","yes",NA,NA,NA,"CITY,50-250000"
"10",30,15,NA,3,0,3,24,52,NA,NA,0,2,9,9,2,1,3,2,NA,3,2,3,4,NA,1,1,NA,1,2,2,1,1,NA,2,3,NA,2,0,6,4,2,2,2,4,6,2,0,1,"Yes","Yes",NA,"INSPIRED WORD","yes","oppose","NOT USED","R CONSENTS TO RECORDING INTERVIEW",NA,"LIVING IN HOUSEHOLD","High School diploma","2 UNITS-ONE ABOVE","NAMES 1","no","no","no","1 GEN","mother","no","YES, MONEY","male",NA,"white",NA,"neither","married",NA,"yes","yes",NA,"yes","no","FULL-TIME","independent",NA,"cellphone",NA,"yes","CANT DISCRIMINATE",NA,NA,"NON-RELATIVE",NA,"CITY GT 250000",NA,"female","Heterosexual or straight","OTHER URBAN","Voted",NA,"no","no","no","no","yes","yes","private","CITY,50-250000"
